전공대분류,최종학력,종사자수(명),소득(월평균임금_만원),평균학력(년),평균근속연수(년),주당평균근로시간(시간)
인문계열,전문대졸(2~3년제),94396,173.8,14.0,7.9,45.7
인문계열,대졸(4년제 이상),877003,239.0,16.4,11.3,43.9
사회계열,전문대졸(2~3년제),557166,210.4,14.0,9.4,46.7
사회계열,대졸(4년제 이상),1906929,301.5,16.1,12.2,45.7
교육계열,전문대졸(2~3년제),189353,226.6,14.3,10.4,48.5
교육계열,대졸(4년제 이상),526572,268.1,16.3,12.8,48.4
예체능계열 및 기타,전문대졸(2~3년제),311878,166.4,14.0,6.5,48.3
예체능계열 및 기타,대졸(4년제 이상),374913,183.5,16.4,8.2,48.4
자연계열,전문대졸(2~3년제),210841,183.5,14.0,8.4,48.3
자연계열,대졸(4년제 이상),1992889,292.8,16.4,11.8,46.2
의약계열,전문대졸(2~3년제),225513,192.4,14.0,11.8,44.8
의약계열,대졸(4년제 이상),299236,338.7,16.6,11.8,44.7
공학계열,전문대졸(2~3년제),1153373,178.1,14.0,8.3,46.5
공학계열,대졸(4년제 이상),1469246,214.3,16.1,9.3,45.8
총합,전문대졸(2~3년제),3129431,191.4,14.0,8.9,46.9
총합,대졸(4년제 이상),7000803,286.2,16.2,11.6,45.6
